env_id,cpu_logical,cpu_physical,ram_gb,gpu_available,gpu_vram_gb,num_workers,batch_size,run1,run2,run3,load_time_median
cpu_10,8,4,15.7,0,0,0,32,0.3534,0.3223,0.3169,0.3223
cpu_10,8,4,15.7,0,0,0,64,0.6329,0.6575,0.679,0.6575
cpu_10,8,4,15.7,0,0,0,128,1.3054,1.3065,1.3049,1.3054
cpu_10,8,4,15.7,0,0,0,256,2.5129,2.581,2.5486,2.5486
cpu_10,8,4,15.7,0,0,1,32,0.3462,0.3989,0.1304,0.3462
cpu_10,8,4,15.7,0,0,1,64,0.3027,0.2477,0.8517,0.3027
cpu_10,8,4,15.7,0,0,1,128,1.5542,1.4358,0.4682,1.4358
cpu_10,8,4,15.7,0,0,1,256,1.0217,0.7481,0.727,0.7481
cpu_10,8,4,15.7,0,0,2,32,0.0692,0.062,0.0692,0.0692
cpu_10,8,4,15.7,0,0,2,64,0.1204,0.1112,0.4286,0.1204
cpu_10,8,4,15.7,0,0,2,128,0.8145,0.776,0.8096,0.8096
cpu_10,8,4,15.7,0,0,2,256,0.4132,0.4145,0.4234,0.4145
cpu_10,8,4,15.7,0,0,4,32,0.0496,0.047,0.0506,0.0496
cpu_10,8,4,15.7,0,0,4,64,0.0869,0.0947,0.0793,0.0869
cpu_10,8,4,15.7,0,0,4,128,0.1641,0.1611,0.1516,0.1611
cpu_10,8,4,15.7,0,0,4,256,0.3049,0.3083,0.3171,0.3083
