env_id,cpu_logical,cpu_physical,ram_gb,gpu_available,gpu_vram_gb,num_workers,num_workers_req,batch_size,run1,run2,run3,load_time_median
gpu_04,12,6,14.96,1,3.63,0,0,32,0.0896,0.0894,0.0892,0.0894
gpu_04,12,6,14.96,1,3.63,0,0,64,0.1737,0.1741,0.1737,0.1737
gpu_04,12,6,14.96,1,3.63,0,0,128,0.349,0.3496,0.3506,0.3496
gpu_04,12,6,14.96,1,3.63,0,0,256,0.6857,0.6869,0.6866,0.6866
gpu_04,12,6,14.96,1,3.63,1,1,32,0.147,0.1396,0.1594,0.147
gpu_04,12,6,14.96,1,3.63,1,1,64,0.2513,0.25,0.245,0.25
gpu_04,12,6,14.96,1,3.63,1,1,128,0.4455,0.463,0.4641,0.463
gpu_04,12,6,14.96,1,3.63,1,1,256,0.8314,0.8232,0.8234,0.8234
gpu_04,12,6,14.96,1,3.63,2,2,32,0.0777,0.0813,0.0819,0.0813
gpu_04,12,6,14.96,1,3.63,2,2,64,0.1389,0.1349,0.1354,0.1354
gpu_04,12,6,14.96,1,3.63,2,2,128,0.2412,0.2408,0.2643,0.2412
gpu_04,12,6,14.96,1,3.63,2,2,256,0.4562,0.4507,0.4528,0.4528
gpu_04,12,6,14.96,1,3.63,4,4,32,0.0662,0.074,0.0636,0.0662
gpu_04,12,6,14.96,1,3.63,4,4,64,0.0963,0.0944,0.1163,0.0963
gpu_04,12,6,14.96,1,3.63,4,4,128,0.1716,0.2255,0.1942,0.1942
gpu_04,12,6,14.96,1,3.63,4,4,256,0.3438,0.3706,0.3148,0.3438
