env_id,cpu_logical,cpu_physical,ram_gb,gpu_available,gpu_vram_gb,num_workers,batch_size,run1,run2,run3,load_time_median
gpu_08,16,10,15.63,1,6.0,0,32,0.1789,0.1689,0.1622,0.1689
gpu_08,16,10,15.63,1,6.0,0,64,0.3512,0.3474,0.339,0.3474
gpu_08,16,10,15.63,1,6.0,0,128,0.6415,0.624,0.6478,0.6415
gpu_08,16,10,15.63,1,6.0,0,256,1.3343,1.3437,1.3043,1.3343
gpu_08,16,10,15.63,1,6.0,1,32,0.1876,0.2119,0.1881,0.1881
gpu_08,16,10,15.63,1,6.0,1,64,0.3335,0.3757,0.3266,0.3335
gpu_08,16,10,15.63,1,6.0,1,128,0.6301,0.6125,0.6713,0.6301
gpu_08,16,10,15.63,1,6.0,1,256,1.284,1.295,1.2412,1.284
gpu_08,16,10,15.63,1,6.0,2,32,0.1059,0.1095,0.0978,0.1059
gpu_08,16,10,15.63,1,6.0,2,64,0.2174,0.1779,0.1814,0.1814
gpu_08,16,10,15.63,1,6.0,2,128,0.3836,0.3506,0.3439,0.3506
gpu_08,16,10,15.63,1,6.0,2,256,0.7891,0.6184,0.7954,0.7891
gpu_08,16,10,15.63,1,6.0,4,32,0.0661,0.1089,0.0833,0.0833
gpu_08,16,10,15.63,1,6.0,4,64,0.1457,0.1654,0.1594,0.1594
gpu_08,16,10,15.63,1,6.0,4,128,0.2882,0.2767,0.2544,0.2767
gpu_08,16,10,15.63,1,6.0,4,256,0.4232,0.5064,0.5423,0.5064
