model,test_env,MAE,RMSE,R2,ConfigAcc,Top3Acc,DefaultT,EPMO_T,OracleT,Saving%,Oracle%,Regret%,PctOracle,Pred_w,Pred_b,True_w,True_b
Random Forest,cpu_01,0.20587,0.29018,-0.3158,0,1,0.0748,0.0426,0.0416,43.0,44.4,2.4,97.0,2,32,4,32
Random Forest,cpu_02,0.49749,0.78187,0.0498,0,0,0.1395,0.1903,0.1395,-36.4,0.0,36.42,100.0,4,32,0,32
Random Forest,cpu_03,0.08383,0.11444,0.7796,1,1,0.1244,0.0508,0.0508,59.2,59.2,0.0,100.0,4,32,4,32
Random Forest,cpu_04,0.11233,0.16813,0.3568,0,1,0.0723,0.1262,0.0669,-74.6,7.5,88.64,-998.1,4,32,2,32
Random Forest,cpu_05,0.38446,0.50824,0.2252,1,1,0.2194,0.1448,0.1448,34.0,34.0,0.0,100.0,4,32,4,32
Random Forest,cpu_06,0.16971,0.22476,0.6937,0,1,0.1362,0.2065,0.1362,-51.6,0.0,51.62,100.0,4,32,0,32
Random Forest,cpu_07,0.38858,0.50966,0.1728,1,1,0.2297,0.1343,0.1343,41.5,41.5,0.0,100.0,4,32,4,32
Random Forest,cpu_08,0.39249,0.50014,-17.4246,1,1,0.0635,0.0274,0.0274,56.9,56.9,0.0,100.0,4,32,4,32
Random Forest,cpu_09,0.34135,0.4189,-1.6771,1,1,0.1275,0.0718,0.0718,43.7,43.7,0.0,100.0,4,32,4,32
Random Forest,cpu_10,0.40088,0.67384,-0.0873,1,1,0.3223,0.0496,0.0496,84.6,84.6,0.0,100.0,4,32,4,32
Random Forest,cpu_11,0.08347,0.12577,0.6464,0,0,0.0946,0.0606,0.0456,35.9,51.8,32.89,69.4,2,32,4,32
Random Forest,cpu_12,0.10043,0.12959,0.7076,1,1,0.1036,0.0462,0.0462,55.4,55.4,0.0,100.0,4,32,4,32
Gradient Boosting,cpu_01,0.20257,0.28216,-0.244,0,0,0.0748,0.0748,0.0416,0.0,44.4,79.81,0.0,0,32,4,32
Gradient Boosting,cpu_02,0.52585,0.84312,-0.1049,0,0,0.1395,0.1903,0.1395,-36.4,0.0,36.42,100.0,4,32,0,32
Gradient Boosting,cpu_03,0.02253,0.02826,0.9866,1,1,0.1244,0.0508,0.0508,59.2,59.2,0.0,100.0,4,32,4,32
Gradient Boosting,cpu_04,0.13478,0.18693,0.2049,0,0,0.0723,0.0723,0.0669,0.0,7.5,8.07,0.0,0,32,2,32
Gradient Boosting,cpu_05,0.42397,0.54614,0.1053,1,1,0.2194,0.1448,0.1448,34.0,34.0,0.0,100.0,4,32,4,32
Gradient Boosting,cpu_06,0.13878,0.17749,0.809,0,1,0.1362,0.3011,0.1362,-121.1,0.0,121.07,100.0,2,32,0,32
Gradient Boosting,cpu_07,0.38786,0.49915,0.2066,1,1,0.2297,0.1343,0.1343,41.5,41.5,0.0,100.0,4,32,4,32
